The END time is: 0
i|Density|Velocity|E 0
The time is: 0
i|Density|Velocity|E|P|F(0)|F(1)|F(2)|+S.5|-S.5|Volume0
0|1.2|100|208333|80933.3|120|112000|3.08333e+07|4.975|0|5
1|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|4.775|4.975|4.875
2|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|4.375|4.775|4.575
3|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|3.775|4.375|4.075
4|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|3.1|3.775|3.4375
5|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|3.1|3.1|3.1
6|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|3.775|3.1|3.4375
7|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|4.375|3.775|4.075
8|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|4.775|4.375|4.575
9|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|4.975|4.775|4.875
10|1.2|100|208333|80933.3|120|92933.3|2.89267e+07|4.975|4.975|5
